Chain Number,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12
1,fray,nylon,tabled,atrophy,resistor,grounding,combatants,masculinity,participated
2,goon,mavis,dollar,chanted,warnings,extracted,connective,termination,illustrative
3,fags,pesky,dickey,cinemas,realizes,posterity,accidently,suitability,affiliations
4,fate,truce,malice,filming,littered,competing,despicable,translucent,reintroduced
5,knob,rafts,larvae,cropped,detained,providers,westerners,enterprises,congratulate
6,each,coils,valves,asshole,reacting,contented,authorized,procurement,electricians
7,limb,swung,victim,reports,pavilion,admitting,structures,nominations,undetermined
8,wage,scrap,worded,arousal,settling,engraving,correspond,understands,transitional
9,dame,billy,equate,parties,deficits,stylistic,innovative,pornography,parishioners
10,sees,rites,garage,onstage,serenity,whereupon,initiation,astronomers,concentrated
11,wait,flaws,infamy,vetting,wrapping,astronomy,diversions,fluctuation,northeastern
12,hear,hazel,boiler,hitting,pilgrims,narcotics,immorality,existential,transmitters
13,ripe,lawns,monkey,lefties,confines,reservoir,monologues,encompasses,lighthearted
14,rank,heath,boldly,pointer,republic,animosity,decisively,circulation,domesticated
15,menu,cadre,winged,credits,ancestry,fluctuate,cautiously,autographed,degenerative
16,lows,bench,feline,program,expertly,outlining,wilderness,indivisible,breakthrough
17,nazi,chore,hobbit,ambient,manicure,repressed,parameters,unanimously,subsequently
18,soil,virus,mostly,erected,lyricist,disturbed,duplicates,spiritually,preventative
19,bird,argus,fetish,verdict,memories,humiliate,infallible,surrendered,headquarters
20,sane,skips,artful,elitist,declines,postponed,scrambling,consecrated,incontinence
21,path,fiber,staple,members,outraged,overdrive,scriptural,aeronautics,instrumental
22,josh,frank,farmer,measure,rewarded,miserable,invalidate,segregation,guaranteeing
23,soap,pores,yields,thought,penguins,furiously,allocation,discrepancy,disseminated
24,lass,shows,spends,audible,fibrosis,shootings,apparition,enforcement,electrically
25,pips,serum,lister,trolley,cremated,deficient,obstetrics,submissions,impoverished
26,tell,hover,rested,coastal,licences,utilising,substation,disturbance,conscription
27,pall,seats,shares,strides,cheating,necessary,converters,celebratory,surroundings
28,mine,carol,trophy,drifted,reigning,taxonomic,devotional,advertising,transparency
29,wilt,clams,cyborg,leaving,continue,palatable,ethnically,hibernation,preposterous
30,ibis,potty,hugged,besides,alphabet,attending,visitation,greenhouses,professional
31,bros,carts,floppy,banking,pantheon,normalize,presidents,shareholder,entrepreneur
32,king,sugar,tyrant,growing,relevant,snatching,inevitably,townspeople,announcement
