Chain Number,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
1,yoke,armed,having,network,embedded,obviously,bankruptcy
2,duct,river,hearty,breathe,abrasion,switching,systematic
3,norm,misty,bugged,highway,favorite,therapist,collectors
4,sell,trier,peeled,atrophy,basement,claimants,contraband
5,kiss,north,garter,lefties,luxuries,anarchism,vegetables
6,aide,shift,stance,circled,offshoot,picturing,instigated
7,lick,dodge,whilst,smarter,sobriety,according,retrieving
8,demo,plain,allies,nullify,interact,sidewalks,exaggerate
9,lard,dildo,relish,crochet,flocking,alcoholic,invitation
10,nope,swoop,noodle,burgess,carnival,publicity,gatherings
11,pact,awful,draped,tracker,namesake,barometer,divisional
12,mime,saver,rhymes,tougher,fruitful,universes,intestinal
13,bane,brits,shirts,reality,overlaps,misplaced,everything
14,ride,early,posing,alludes,redirect,diaphragm,invocation
15,rank,lands,banana,bespoke,anchored,breweries,distorting
16,dumb,mated,assign,hangout,unfairly,immortals,disorderly
17,free,mushy,bovine,uploads,backdoor,intersect,recreation
18,gran,gnome,regard,writing,watering,horseshoe,centennial
19,onus,stout,thrive,jukebox,headline,novelists,continuous
20,quid,sting,series,wedlock,diocesan,variously,reflecting
21,colt,thank,tarzan,ripping,suffrage,forgiving,suppressor
22,area,buddy,piglet,explain,populous,reporting,wainwright
23,lowe,plead,nordic,trolled,potatoes,medicines,diplomatic
24,soul,tonga,squeal,whining,unfolded,blacklist,strengthen
25,cote,feats,hollow,damning,fabulous,permitted,overpriced
26,bean,mufti,celery,schools,chastity,selective,currencies
27,lift,fetch,swiped,anthrax,password,armaments,fracturing
28,that,karma,nights,forgive,rigorous,dynamical,humiliated
29,rake,newer,salmon,rebates,neutrino,qualified,eliminates
30,puns,bowel,francs,degrade,prepared,cocktails,telephones
31,slid,epoch,primal,saffron,severely,popularly,soliciting
32,twas,pizza,racked,warlock,debating,intrinsic,metallurgy
33,tugs,footy,stoker,pursued,wielding,perverted,attainable
34,nuns,sound,placer,bootleg,cherries,malleable,freshwater
35,even,peach,scraps,battles,backfire,coincided,trafficked
36,alfa,takin,morgan,hurling,rustling,repellent,thickening
37,turf,tuned,bumble,devised,germanic,psoriasis,rebellious
38,fair,optic,cyborg,thrifty,plotting,purposely,sabotaging
39,glee,exist,halved,progeny,elevated,farmhouse,statistics
40,nets,stump,bypass,figures,operator,uniformed,infuriated
41,rate,boron,loving,pretext,marrying,surrounds,ingredient
