Chain Number,Word 1,Word 2,Word 3,Word 4,Word 5
1,comic,karts,krone,shoes,rules
2,swell,woken,expel,lisle,peaks
3,audio,baked,molto,sweet,lapel
4,coded,fibre,leger,scarf,hotch
5,poked,foamy,lamas,loran,paisa
6,harts,fasts,borax,spasm,divas
7,baldy,false,slick,bourg,fared
8,lists,sears,purrs,gully,holed
9,aline,nooks,basal,sinus,slain
10,finds,tired,garth,jaded,mecca
11,ruled,leant,wipes,butts,agate
12,borne,niche,mambo,dowry,abate
13,abide,lands,trams,tasty,pager
14,razor,inlay,lamia,sumac,polos
15,vigil,minds,boner,glove,rinse
16,cusps,sends,bated,tabby,galas
17,petit,fixed,myrrh,limbs,peaky
18,bindi,liars,ficus,pagan,gurus
19,caddy,equip,batty,beach,grill
20,diets,caped,cause,rates,pines
21,flare,joule,death,largo,muggy
22,tardy,rogue,egret,holly,payer
23,gravy,sykes,shire,shove,faxed
24,years,folks,futon,rimes,aglow
25,broad,fluke,grape,roomy,evict
26,radix,amaze,rings,poets,drags
27,clues,fears,hyena,event,spare
28,comas,scant,bruin,fungi,fifth
29,spiel,retro,robed,motif,obeys
30,mutch,recto,tinge,petty,tunes
31,frill,husky,lowly,makes,lunch
32,chide,scull,ghazi,growl,masts
33,thumb,curry,world,trump,cloth
34,boast,story,newly,angry,colon
35,codex,buffy,mitts,eerie,carte
36,redux,kinky,nomad,jumbo,dorms
37,clean,parry,anger,treat,seats
38,topaz,flees,rakes,males,fishy
39,tummy,souls,tubes,guild,boost
40,debug,phlox,weepy,frizz,purge
41,rumen,happy,noddy,mules,riley
42,skids,gazed,pesky,bring,pacha
43,liner,paler,heats,skill,yells
44,crazy,bloom,haute,antsy,baron
45,heirs,calla,aliya,foots,igloo
46,thorn,shalt,beats,atman,lover
47,roams,lager,wahoo,deuce,whiny
48,helps,prawn,cajon,gated,glean
49,badge,firms,licht,natal,rapes
50,shave,noose,pilot,motes,bakes
51,teeny,tonal,cline,techy,mucus
52,snubs,vicar,fines,prong,cokes
53,gauss,plums,flops,glial,bimbo
54,loopy,spiny,colds,cloud,crops
55,modem,swore,forts,gloom,punto
56,stash,drops,bogie,aware,boric
57,flint,roars,white,kafir,gruel
58,squaw,slips,glaze,atoll,heady
59,clung,filer,siren,macho,jihad
60,skate,mulls,spend,novel,pinup
61,drill,mamie,diwan,shuns,pasha
62,stark,hymen,vibes,lakes,weber
63,spoke,sited,pithy,paved,reset
64,rabat,altos,rough,title,lofty
65,eaves,corgi,waugh,inane,boons
66,chute,glass,lathe,eased,filed
67,class,moles,scowl,ostia,vodka
68,cling,sober,beech,fated,knits
69,tapes,sissy,unlit,binge,moved
70,quads,piece,morro,leafy,hails
71,taupe,mealy,droop,abuzz,hills
72,dicky,mazes,neigh,fetch,humid
73,repel,until,floss,quick,tipsy
74,fired,bleed,grout,shams,jelly
75,plead,cells,hikes,mourn,creel
76,tarts,hamza,skews,pygmy,penna
77,merry,mists,boats,spitz,sedge
78,swamp,cupid,beeps,thief,mills
79,frank,nazis,femme,rondo,bitch
80,liven,sarge,sonic,shale,swept
81,cocky,bitty,plush,tuber,cures
82,hafiz,aleph,fakes,spelt,boney
83,jerky,honed,rarer,phage,cream
84,tempo,piety,vitae,crags,north
85,chirp,icons,jails,shaky,mount
86,beefs,summa,irons,shots,dregs
87,shunt,theta,oozed,decaf,shame
88,helio,randy,gloat,rinks,hyper
89,wrack,swain,curio,slide,bluer
90,thing,taluk,mixer,dates,brick
91,clout,expos,soyuz,balls,admit
92,preps,vanda,frisk,hoist,dials
93,demos,flail,vital,notch,hairs
94,impel,point,woven,fixes,lapse
95,gimme,hertz,final,flesh,crone
96,burke,amide,kilts,plant,choir
97,plaza,femur,legit,celts,clink
98,burry,easel,sauce,evade,bogey
99,sassy,claps,fayed,umber,groin
100,doped,climb,erect,hello,prost
101,taste,golem,sabin,barmy,idler
102,niece,hocus,lithe,ilium,loved
103,pisco,deans,woozy,adult,sexes
104,veena,merit,forth,sabra,stair
105,trash,agree,lasso,steps,hence
106,shine,pumas,cilia,bench,tabor
107,bluff,slept,grips,fizzy,merge
108,oddly,caved,merle,loons,livid
109,latte,laird,orbit,pushy,madly
110,apace,crook,dopey,trade,hoody
111,tyres,shiva,infos,bendy,reals
112,foxes,nacho,axial,sushi,moors
113,valve,laces,echos,chile,deals
114,posed,batch,bulge,redox,croft
115,manas,golds,flash,howdy,resin
116,trims,civic,sloop,jaunt,tulip
117,hitch,roses,strut,omits,sager
118,lunar,ulcer,shoot,greek,hoods
119,moves,varna,adios,yanks,verse
120,groan,slang,snoop,tepid,cease
121,promo,brees,hight,morse,basil
122,poach,dobby,there,rafts,nerds
123,tammy,bylaw,ember,ebbed,march
124,diner,anvil,tatar,laden,union
125,hasty,texts,peart,flush,salve
126,codes,fives,traps,beefy,avail
127,alone,beets,racks,gowan,looms
128,ankle,dumpy,plumb,genie,mocks
129,toast,vague,axons,hinge,goose
130,frere,mummy,karst,decor,pekin
131,leach,pouch,stake,donna,baker
132,surer,isles,levee,edges,colas
133,cushy,duvet,bests,solos,girls
134,proud,toddy,ogres,mutts,witch
135,plans,rhino,speed,sales,cento
136,beers,betta,sores,algal,villa
137,kraft,pupil,bread,fella,parts
138,rives,bally,glues,state,minus
139,front,peers,jager,pecks,thump
140,bends,diver,ideal,solus,hears
141,posts,pussy,widen,curie,whoop
142,chalk,iliad,grama,denim,folly
143,mason,waver,brace,gaunt,daisy
144,maple,swipe,curls,glans,bowed
145,homey,burnt,allot,prowl,spews
146,draft,dozen,boobs,blobs,heels
147,gowns,casus,rebut,hooky,lease
148,picky,scots,cable,bonds,odors
149,tarps,canes,snafu,press,lurid
150,hulls,vents,wreak,clone,duchy
151,poses,burns,grins,tiger,ample
152,waves,manse,poems,stops,hefty
